Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.246711253516259,0.000252389,6.212696115916043,0.0002,0,0
4.246764125510136,-0.001411065,6.234018870000787,0.0002,4.262,9.36
4.039277018171289,-0.995093412,6.250254735870466,1,3.465,23.281
4.019506433278611,-0.99673106,6.3021756591391584,1,3.451,36.406
4.004763260680274,-0.992844635,6.361644677784643,1,3.438,49.625
3.9928627084244077,-0.995956609,6.3996923588972825,1,3.427,62.813
3.9823467950992972,-0.994664803,6.233613052,1,3.419,75.89099999999999
3.9724578113821183,-0.998752929,5.984853971653922,1,3.4,89.031
3.9637400413432737,-0.994139792,5.857701988766819,1,3.391,102.14099999999999
3.9554322726766733,-0.993796863,5.772313170034769,1,3.386,115.297
3.947905974663914,-0.994119861,5.6509740843492455,1,3.381,128.438
3.940774900997409,-0.995193503,5.571673053475088,1,3.376,141.578
3.933846618548325,-0.995694148,5.515714320491757,1,3.37,154.719
3.9273923546175737,-0.994085087,5.4568091229908875,1,3.366,167.813
3.9211979790578178,-0.995066288,5.378785107690307,1,3.361,180.906
3.915208326950005,-0.996569699,5.314407193763756,1,3.355,194
3.909650115868643,-0.995161385,5.274538338221796,1,3.351,207.11
3.9041901362705107,-0.994442529,5.174515866306435,1,3.346,220.219
3.898996130971163,-0.995209348,5.129142434341374,1,3.341,233.313
3.893760440969397,-0.995748599,5.0080842944609065,1,3.337,246.422
3.8888064621954284,-0.994180396,5.0513007595673205,1,3.332,259.547
3.884369300425002,-0.994410213,5.242850809235625,1,3.328,272.625
3.880096698887316,-0.996444529,5.3867348931750225,1,3.324,285.75
3.876255755266973,-0.996192372,5.513976643,1,3.32,298.86
3.872645902645617,-0.993947955,5.639390668885933,1,3.317,311.953
3.869158006,-0.996373401,5.7583258473072965,1,3.314,325.094
3.8660153713500423,-0.995146487,5.832963155162861,1,3.311,338.172
3.862977664836382,-0.994359151,5.915867236906388,1,3.308,351.235
3.8604069574572226,-0.995296693,5.973522128048028,1,3.306,364.313
3.8574103612896185,-0.993506043,6.037473774870282,1,3.303,377.406
3.8547113673136124,-0.994210052,6.112633317377791,1,3.301,390.516
3.8520056988643425,-0.995061121,6.190764215,1,3.298,403.61
3.8496045007296327,-0.995206017,6.228757753,1,3.296,416.688
3.847234477772906,-0.99509557,6.296519506121976,1,3.294,429.75
3.845001919852917,-0.995864331,6.341221315,1,3.292,442.875
3.8427341381590816,-0.995628836,6.394275142289426,1,3.29,455.922
3.8406256257585434,-0.996504998,6.457729510968821,1,3.288,469.031
3.838447188776546,-0.997270674,6.518485933903448,1,3.286,482.11
3.8364523101357952,-0.99669339,6.573952637817425,1,3.284,495.235
3.834430074367508,-0.9949791,6.623962079256748,1,3.282,508.313
3.832303021,-0.995112991,6.674110923513634,1,3.28,521.391
